,Unnamed: 0,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
98,98,3417,72460,85,9,76,0,1,370
99,99,16320,75317,247,5,12,3,5,1778
100,100,2838,43129,80,30,8,0,1,336
101,101,4700,76694,117,34,23,0,1,561
102,102,2471,95697,61,16,55,0,1,114
103,103,10130,59232,85,6,75,0,2,408
104,104,3419,40272,86,8,64,0,1,23
105,105,23866,88569,81,27,93,1,2,388
106,106,8324,36559,121,24,92,0,5,871
107,107,3179,65742,79,6,0,0,1,277
108,108,6672,56830,83,15,27,3,9,319
109,109,16407,22103,109,16,31,0,2,160
110,110,9371,66325,117,10,10,0,5,497
111,111,4270,82469,122,27,2,0,1,725
112,112,5799,60689,74,29,67,0,7,5
113,113,5096,22886,65,9,81,0,3,312
114,114,15563,94218,253,15,40,5,7,1214
115,115,7475,29633,196,26,57,0,1,534
116,116,9986,24067,132,12,2,0,6,633
117,117,5568,51489,139,14,10,0,1,236
118,118,20579,23631,69,5,26,0,2,566
119,119,8276,69098,82,29,92,0,2,590
120,120,4014,54054,99,7,55,0,1,5
121,121,12989,93350,65,16,3,0,2,312
122,122,15114,28513,100,4,22,1,2,480
123,123,4709,99917,66,17,29,0,3,470
124,124,2452,79898,62,5,86,1,1,271
125,125,3919,66676,97,0,40,0,1,558
126,126,4716,25746,61,0,84,1,3,292
127,127,12332,85789,105,18,54,2,2,122
128,128,35862,26376,121,7,19,0,2,580
129,129,2398,14321,65,20,72,0,1,423
130,130,6005,13528,86,21,35,0,3,412
131,131,6265,54383,84,18,25,1,4,481
132,132,8013,65636,67,15,72,0,2,321
133,133,4979,68667,71,17,57,0,5,340
134,134,4834,38713,66,31,69,4,6,316
135,135,3288,72653,102,16,1,1,1,734
136,136,5525,64816,69,30,33,0,7,331
137,137,9031,42996,122,15,47,0,9,650
138,138,4620,55041,130,11,0,0,1,936
139,139,5552,50470,71,1,87,0,8,377
140,140,3842,27906,102,5,57,0,1,489
141,141,5093,91814,63,30,99,0,3,167
142,142,16794,38399,106,12,6,0,2,368
143,143,24278,20983,97,10,52,1,2,451
144,144,7462,70263,93,30,66,0,5,7
145,145,3735,24779,110,3,16,0,1,792
146,146,2891,80590,71,4,19,0,1,134
147,147,11981,21514,62,0,59,0,2,257
148,148,2347,31617,62,17,29,1,1,244
149,149,4282,40864,109,16,70,1,1,166
150,150,5380,55350,67,0,13,0,9,321
151,151,5828,31364,74,28,47,0,3,461
152,152,5048,34452,126,2,51,0,1,604
153,153,7737,50296,65,26,62,1,2,46
154,154,7950,26189,69,6,42,0,2,331
155,155,4111,65085,103,20,55,0,1,480
156,156,8007,99250,112,12,93,0,3,537
157,157,4873,18866,126,4,62,0,1,604
158,158,2252,91619,65,13,84,0,1,468
159,159,4957,62803,62,16,12,0,5,400
160,160,2655,83460,66,20,18,0,1,443
161,161,5898,53998,78,5,38,5,8,414
162,162,17723,25771,222,21,58,0,4,1253
163,163,5108,26784,67,14,82,0,8,482
164,164,4517,25261,118,31,9,0,1,566
165,165,5310,77884,72,17,11,1,3,345
166,166,2773,73478,68,2,38,0,1,241
167,167,5504,81581,73,18,45,0,5,350
168,168,6960,74487,88,8,86,0,3,16
169,169,5010,64014,63,17,27,0,7,295
170,170,8488,80213,70,12,17,0,2,440
171,171,2471,95697,61,16,55,0,1,114
172,172,5876,32848,74,12,59,0,5,250
173,173,12313,65651,116,7,57,0,2,835
174,174,3982,38500,99,26,49,1,1,423
175,175,8237,23940,107,13,34,0,7,513
176,176,12487,31283,104,6,3,4,2,499
177,177,5366,37089,70,5,29,0,4,223
178,178,2517,49177,69,6,71,1,1,42
179,179,5583,57925,72,33,13,1,3,204
180,180,7356,81145,92,34,92,0,8,321
181,181,10144,27231,88,0,7,0,2,422
182,182,8672,22547,112,7,60,0,3,537
183,183,2674,56342,69,12,89,0,1,331
184,184,34611,20090,109,10,59,0,2,523
185,185,8071,72149,101,18,43,0,6,69
186,186,2511,17658,65,10,44,0,1,312
187,187,7255,10710,94,12,33,0,7,451
188,188,14510,60120,182,30,21,0,6,716
189,189,11009,51643,283,16,43,0,1,1358
190,190,21991,80807,109,1,73,0,2,132
191,191,4633,27132,63,32,59,1,4,302
192,192,5272,85607,66,26,1,0,3,67
193,193,4340,96333,62,22,39,0,6,446
194,194,5488,33881,68,11,83,0,9,65
195,195,14228,31650,121,25,17,0,2,580
196,196,12840,89576,90,1,94,0,2,648
197,197,2673,28728,67,8,10,0,1,321
198,198,5332,68931,66,32,30,0,7,309
199,199,10064,20440,128,11,54,2,9,614
200,200,8972,89689,74,16,4,0,2,136
201,201,8197,82385,110,27,87,0,3,528
202,202,3514,73643,89,2,2,0,1,147
203,203,4293,81806,61,18,15,0,8,292
204,204,3567,30227,102,28,11,0,1,660
205,205,2580,46900,66,13,59,0,1,316
206,206,46805,83006,235,8,61,1,2,1065
207,207,2666,79251,67,10,32,1,1,321
208,208,13057,86185,190,9,67,0,7,1833
209,209,5823,88359,73,1,49,0,9,35
210,210,9536,62421,80,22,50,2,2,384
211,211,8107,16056,76,0,91,0,2,364
212,212,3484,34307,92,33,62,2,1,186
213,213,34039,98626,104,26,66,0,2,499
214,214,7995,66685,67,35,50,2,2,38
215,215,11611,28915,76,10,49,0,2,364
216,216,4454,93491,68,5,72,1,3,326
217,217,5395,97865,74,13,30,0,4,355
218,218,8447,61337,105,35,46,0,9,2
219,219,2927,75685,73,35,47,0,1,369
220,220,2960,34784,82,0,28,0,1,590
221,221,6582,46215,62,3,44,0,2,297
222,222,2693,63684,68,15,87,0,1,343
223,223,2844,80306,71,11,12,0,1,340
224,224,6331,24355,87,3,82,0,3,94
225,225,5837,83308,73,10,81,0,7,419
226,226,4727,37033,72,23,7,0,3,345
227,227,4434,34549,111,8,78,0,1,125
228,228,5568,61093,79,21,53,1,7,407
229,229,7031,16224,93,13,55,0,9,498
230,230,2449,47122,62,6,77,0,1,297
231,231,2504,36567,69,23,15,0,1,496
232,232,9095,37937,116,11,42,0,5,556
233,233,8071,34306,112,3,84,0,7,806
234,234,15032,17150,65,28,19,0,2,689
235,235,8256,62902,69,14,94,0,2,159
236,236,11009,51643,283,16,43,0,1,1358
237,237,5318,25134,67,3,0,0,6,321
238,238,4733,62344,62,5,41,0,3,740
239,239,33473,33190,106,18,95,0,2,508
240,240,4550,17913,116,0,39,0,1,556
241,241,4772,20993,133,35,90,0,1,638
242,242,6285,52210,80,6,74,0,9,384
243,243,4434,58082,112,31,66,1,1,103
244,244,17254,27641,69,33,49,1,2,331
245,245,2915,86599,73,32,89,0,1,350
246,246,15762,44362,66,15,75,0,2,142
247,247,4273,82214,106,11,19,1,1,239
248,248,2816,41228,71,19,13,0,1,340
249,249,5548,67798,69,1,78,0,9,331
250,250,32654,86808,153,7,75,0,2,1101
251,251,7687,34998,109,0,5,0,3,523
252,252,4151,90431,61,0,71,1,9,208
253,253,2927,51991,73,4,95,0,1,124
254,254,2943,12215,81,8,23,0,1,388
255,255,5320,88669,66,9,18,1,4,213
256,256,4858,41939,67,12,79,1,3,482
257,257,7590,10375,66,10,95,0,2,316
258,258,4605,22571,63,29,51,0,9,302
259,259,7555,55122,114,6,50,0,3,820
260,260,9587,84539,119,10,71,0,4,65
261,261,2780,20261,72,4,55,0,1,345
262,262,4784,25813,61,5,97,0,8,205
263,263,4873,47824,129,8,56,3,1,546
264,264,4786,19161,68,4,67,0,9,489
265,265,15994,71723,159,19,75,0,2,1410
266,266,5395,86640,67,2,25,0,5,65
267,267,2356,55895,63,22,94,0,1,302
268,268,5133,53390,64,13,41,0,5,278
269,269,4996,25915,64,13,62,0,7,317
270,270,4455,10040,121,16,64,0,1,699
271,271,3921,62445,98,19,12,1,1,681
272,272,20171,24804,73,19,98,0,2,350
273,273,5528,36088,72,16,31,0,9,345
274,274,4077,53093,103,3,62,0,1,98
275,275,4917,36424,71,27,81,0,5,511
276,276,5686,30242,72,30,23,0,3,48
277,277,8025,53049,77,15,26,0,2,25
278,278,4165,58299,105,27,22,1,1,504
279,279,19259,35973,159,5,97,0,2,763
280,280,2486,36635,63,20,28,0,1,302
281,281,5948,88122,148,15,10,0,1,840
282,282,10996,60274,104,29,73,0,2,748
283,283,4803,83133,69,31,25,0,7,496
284,284,7761,43137,96,8,41,0,8,460
285,285,4334,23904,123,1,67,3,1,590
286,286,7695,50147,101,4,37,0,3,484
287,287,2397,22283,65,16,93,0,1,572
288,288,42561,66661,119,23,41,0,2,571
289,289,7153,32238,91,15,80,0,4,439
290,290,6143,45032,77,13,35,0,3,36
291,291,26180,68189,82,10,17,1,2,343
292,292,18688,27738,76,2,66,0,2,364
293,293,7089,52707,90,33,66,1,6,432
294,294,15000,62473,76,6,70,1,2,507
295,295,41787,46587,119,34,74,2,2,571
296,296,2470,23888,74,21,20,0,1,721
297,297,4786,23402,61,29,38,0,7,292
298,298,7918,44698,211,0,88,4,1,1012
299,299,2858,27382,71,33,35,0,1,134
300,300,2719,41005,70,22,37,0,1,336
301,301,5714,23726,74,1,83,0,9,355
302,302,2837,90893,70,8,82,0,1,70
303,303,2535,96517,68,24,73,0,1,326
304,304,5623,31504,71,8,27,0,3,340
305,305,9061,73876,112,19,71,0,8,419
306,306,5555,74015,72,12,61,0,6,471
307,307,7937,22862,67,9,40,0,2,321
308,308,11790,25251,66,13,43,0,2,316
309,309,22305,62116,102,13,89,0,2,401
310,310,6328,91838,100,17,21,2,4,648
311,311,8433,57961,72,27,64,0,2,38
312,312,9657,24537,131,34,61,0,9,628
313,313,7559,31552,119,33,58,1,3,964
314,314,5755,97657,71,2,19,0,8,107
315,315,2868,40046,73,10,51,0,1,118
316,316,8256,62902,69,14,94,0,2,159
317,317,6595,23601,105,2,38,2,7,847
318,318,8725,69772,112,17,38,0,9,537
319,319,3444,36647,93,10,63,0,1,7
320,320,5217,39854,66,6,4,0,7,261
321,321,4260,26991,119,34,65,0,1,856
322,322,2769,40506,70,14,98,0,1,113
323,323,2933,47005,83,2,62,0,1,199
324,324,11124,61133,112,25,69,0,2,806
325,325,5394,65978,67,3,50,0,3,251
326,326,2816,42937,71,14,9,0,1,251
327,327,2585,28137,65,23,2,0,1,312
328,328,4236,14476,113,11,0,0,1,542
329,329,2544,91169,65,11,50,0,1,139
330,330,34708,92475,109,3,19,0,2,718
331,331,3034,68205,76,35,14,0,1,99
332,332,7844,70409,102,20,46,0,3,273
333,333,3259,52782,85,20,61,4,1,541
334,334,4282,40864,109,16,70,1,1,166
335,335,2280,55698,61,16,29,0,1,283
336,336,5794,88370,74,0,16,1,9,355
337,337,12520,63833,126,4,59,0,2,907
338,338,4089,60759,104,20,85,0,1,499
339,339,5771,65709,72,33,77,0,3,12
340,340,5133,38795,65,23,64,0,3,98
341,341,2531,31993,66,14,4,1,1,39
342,342,9756,67632,121,0,44,0,4,26
343,343,2329,20934,61,14,35,1,1,292
344,344,2514,43860,65,15,58,0,1,156
345,345,4647,28314,121,21,37,0,1,580
346,346,2719,14030,72,11,3,0,1,345
347,347,3280,63297,82,1,33,0,1,251
348,348,9976,74115,63,24,24,0,2,275
349,349,2738,90814,74,27,91,0,1,263
350,350,2476,47918,62,2,51,0,1,246
351,351,7250,89097,69,17,10,0,2,496
352,352,5504,82507,73,18,45,0,5,350
353,353,3776,68727,94,19,76,0,1,386
354,354,8932,60909,112,8,94,0,5,412
355,355,6352,80587,78,7,5,0,6,276
356,356,3785,26318,96,23,29,0,1,679
357,357,12663,27739,104,16,22,0,2,3
358,358,12625,79421,104,2,85,0,2,115
359,359,4964,52679,62,21,3,0,4,117
360,360,8658,62464,109,23,45,0,4,400
361,361,28119,68211,99,9,21,0,2,475
362,362,17435,54105,73,22,15,2,2,350
363,363,5553,45978,89,1,84,1,4,640
364,364,3996,46210,100,2,44,0,1,46
365,365,4911,32903,64,4,41,3,3,98
366,366,5174,88081,64,35,94,0,5,82
367,367,2499,28264,63,34,9,1,1,364
368,368,2886,10312,78,10,63,0,1,486
369,369,15122,74824,72,35,86,0,2,518
370,370,9517,34879,87,13,76,0,2,417
371,371,4772,15323,128,30,61,0,1,614
372,372,3966,72439,100,5,22,1,1,480
373,373,2750,51789,70,8,34,0,1,336
374,374,2175,98927,61,31,15,0,1,479
375,375,8663,29218,72,33,40,0,2,502
376,376,5200,23401,66,17,34,0,3,316
377,377,27528,54586,76,1,91,0,2,122
378,378,4731,69833,118,32,99,0,1,828
379,379,4791,29111,63,3,65,0,5,302
380,380,3300,59592,84,8,49,0,1,161
381,381,6189,59523,78,5,62,0,8,343
382,382,2619,60477,65,12,38,0,1,139
383,383,4049,42512,105,15,72,1,1,77
384,384,17684,82667,64,5,65,1,2,307
385,385,17497,65540,73,9,94,0,2,350
386,386,8018,58843,68,1,96,0,2,200
387,387,5379,24702,68,13,63,0,8,214
388,388,4148,61896,104,25,97,0,1,461
389,389,11790,25251,66,13,43,0,2,316
390,390,7851,48943,65,17,50,0,2,105
391,391,2680,41968,67,11,96,0,1,183
392,392,2981,64654,83,26,89,0,1,582
393,393,4282,40864,109,16,70,1,1,166
394,394,4165,11520,64,27,32,3,5,575
395,395,5783,72354,73,9,10,0,8,13
396,396,4904,12902,139,3,51,0,1,667
397,397,22332,49078,97,10,3,0,2,484
398,398,6615,90414,83,7,49,1,6,398
399,399,5352,93606,67,23,44,0,3,321
400,400,8561,37759,108,9,51,0,5,518
401,401,2798,48675,71,26,62,1,1,340
402,402,11663,63805,107,12,34,0,2,513
403,403,12280,88340,102,16,1,0,2,489
404,404,8160,83288,109,15,61,0,7,523
405,405,8714,87474,118,14,64,0,4,566
406,406,6900,89044,92,27,50,0,7,428
407,407,14854,37899,187,9,11,0,5,246
408,408,2388,58359,73,12,84,0,1,677
409,409,8518,48616,112,19,86,1,8,537
410,410,6731,14513,62,0,5,0,2,446
411,411,4064,61087,107,31,41,0,1,513
412,412,4477,41402,119,26,26,4,1,571
413,413,15173,22448,126,20,32,0,2,604
414,414,2955,56502,74,15,78,0,1,355
415,415,4525,10269,65,12,5,0,3,170
416,416,2912,93403,73,18,32,0,1,295
417,417,5461,39626,69,3,0,0,3,485
418,418,3061,56869,83,25,34,3,1,269
419,419,25807,71210,214,8,89,1,2,1027
420,420,8954,34614,114,1,9,1,3,547
421,421,4633,37123,70,0,86,0,3,336
422,422,6647,34963,65,34,27,0,2,312
423,423,4951,46896,62,9,33,1,4,31
424,424,8522,60163,109,19,2,0,3,723
425,425,4605,22571,63,29,51,0,9,302
426,426,5337,64169,86,19,93,3,5,619
427,427,6689,56980,84,33,70,0,7,599
428,428,3412,30335,87,17,42,0,1,326
429,429,2063,18085,64,22,34,3,1,602
430,430,2393,12971,70,24,10,0,1,425
431,431,4764,84530,67,18,73,0,8,405
432,432,2568,11167,73,31,99,0,1,350
433,433,4376,49161,69,21,70,4,3,331
434,434,23594,76358,66,25,3,0,2,86
435,435,8223,95102,101,22,73,0,8,94
436,436,8490,28677,78,3,30,0,2,131
437,437,6183,36464,78,5,17,0,7,93
438,438,12047,43324,101,8,17,0,2,284
439,439,8838,82664,114,24,10,3,9,133
440,440,3548,29154,96,10,77,0,1,446
441,441,6960,74487,88,8,86,0,3,16
442,442,13736,16181,181,22,79,0,8,1261
443,443,8438,25539,112,15,63,0,3,585
444,444,5096,22886,65,9,81,0,3,312
445,445,12280,88340,102,16,1,0,2,489
446,446,2926,23656,80,11,1,3,1,384
447,447,7851,25950,66,27,1,0,2,271
448,448,2414,91134,71,25,30,0,1,511
449,449,10348,34244,87,14,34,2,2,417
450,450,5894,39381,74,16,55,0,7,355
451,451,23086,69240,194,16,29,0,2,744
452,452,8509,26057,74,16,63,0,2,523
453,453,2503,53338,63,24,35,1,1,35
454,454,4200,51510,106,11,17,0,1,688
455,455,5363,64604,67,18,71,1,8,272
456,456,33279,59130,117,11,7,0,2,436
457,457,7284,10334,64,5,80,0,2,296
458,458,7281,85840,69,28,28,3,2,371
459,459,6410,61709,82,5,41,2,7,275
460,460,2937,83195,73,18,36,1,1,332
461,461,26223,54933,115,23,15,0,2,828
462,462,3401,41972,86,20,23,0,1,691
463,463,2640,59961,68,8,7,0,1,291
464,464,2701,39141,68,22,7,0,1,402
465,465,6988,22436,89,24,21,0,3,427
466,466,7896,13742,111,22,21,0,8,190
467,467,5510,99553,68,14,85,0,6,111
468,468,5282,38606,68,16,99,0,3,413
469,469,18853,16538,173,24,21,0,2,1245
470,470,2936,27179,74,33,69,0,1,355
471,471,3781,57647,94,3,99,0,1,451
472,472,5867,27880,74,4,9,0,5,199
473,473,5989,66839,154,33,24,0,1,739
474,474,2671,45525,66,1,41,0,1,316
475,475,17622,34441,252,31,10,0,3,1814
476,476,34611,20090,109,10,59,0,2,523
477,477,13438,69693,112,31,62,0,2,537
478,478,13156,72517,82,33,27,0,2,371
479,479,8879,52583,113,12,59,0,7,528
480,480,2429,26736,63,6,64,0,1,367
481,481,5116,32754,70,1,11,0,5,131
482,482,2351,12928,64,12,74,0,1,307
483,483,5981,88723,74,12,94,0,8,355
484,484,8288,33816,106,10,97,2,3,508
485,485,2521,53703,67,3,45,2,1,67
486,486,2471,95697,61,16,55,0,1,114
487,487,6874,22093,87,15,8,0,9,616
488,488,12296,55193,105,8,22,1,2,504
489,489,6106,16654,79,23,31,0,7,379
490,490,9223,18814,122,20,94,0,3,585
491,491,6878,39020,87,0,4,0,5,485
492,492,12902,86584,111,33,54,2,2,532
493,493,10346,55906,86,7,3,0,2,58
494,494,20096,92766,71,17,15,0,2,379
495,495,8861,41854,110,17,44,0,8,481
496,496,9035,34337,113,3,44,0,9,542
497,497,7503,52464,95,9,15,0,3,515
498,498,4462,70088,112,0,33,0,1,536
499,499,3245,35592,82,34,38,0,1,496
500,500,2651,33201,66,9,56,0,1,314
501,501,2379,50161,71,28,15,0,1,747
502,502,4642,87587,64,10,15,0,5,770
503,503,11003,96946,102,20,7,1,2,489
504,504,17771,58525,114,30,1,0,2,547
505,505,4516,77024,124,29,9,0,1,595
506,506,9426,26263,85,11,31,0,2,475
507,507,4992,16265,71,6,5,0,3,653
508,508,5732,39337,74,29,1,1,9,277
509,509,7821,77535,109,31,74,0,3,784
510,510,2308,64809,64,33,98,0,1,431
511,511,6788,62792,93,2,70,0,9,855
512,512,2776,70793,69,32,1,0,1,62
513,513,6141,75183,182,24,45,0,1,1310
514,514,4628,54427,67,25,21,0,4,482
515,515,12883,77469,109,2,98,1,2,757
516,516,16477,57264,84,0,30,1,2,129
517,517,2864,20941,109,2,8,4,1,1145
518,518,4737,67957,68,2,26,0,3,326
519,519,2417,51808,61,3,12,1,1,351
520,520,2300,25905,63,21,12,0,1,302
521,521,6874,37940,96,35,27,0,6,691
522,522,3887,96335,97,7,43,0,1,161
523,523,3619,38844,98,27,47,0,1,310
524,524,8622,97361,73,6,85,0,2,350
525,525,10148,44856,66,24,71,1,2,316
526,526,4928,97917,67,14,32,5,3,279
527,527,2874,33462,72,12,9,0,1,112
528,528,19327,57245,124,25,15,0,2,681
529,529,4941,48187,137,17,5,0,1,986
530,530,7255,67352,181,7,80,1,1,560
531,531,2759,64388,69,8,51,0,1,331
532,532,13379,41052,194,13,83,0,3,1396
533,533,24084,65196,67,0,54,0,2,396
534,534,8847,17950,118,34,24,0,4,425
535,535,16979,35095,73,25,56,0,2,525
536,536,2530,89451,63,23,2,0,1,61
537,537,6355,42593,61,25,79,0,2,292
538,538,5308,71760,145,29,70,0,1,358
539,539,2359,19864,63,22,96,0,1,352
540,540,8564,95697,107,29,29,0,9,178
541,541,3167,61638,82,20,55,2,1,544
542,542,7986,74217,100,35,3,0,6,418
543,543,3554,58557,88,4,83,0,1,55
544,544,13840,29658,119,20,66,0,2,571
545,545,2530,89451,63,11,2,0,1,61
546,546,24238,22419,109,19,49,2,2,784
547,547,13466,11432,119,11,9,0,2,571
548,548,3052,12569,93,15,31,3,1,446
549,549,9161,91763,113,22,64,0,3,441
550,550,11578,29356,115,21,46,0,2,1163
551,551,3900,95018,97,21,81,0,1,315
552,552,23903,97515,74,12,72,1,2,355
553,553,2399,20992,64,21,73,0,1,307
554,554,5010,64014,63,26,27,0,7,295
555,555,8112,87403,68,1,63,0,2,456
556,556,3647,20694,94,29,89,1,1,451
557,557,5384,59364,67,25,56,0,5,321
558,558,2772,68463,70,19,67,1,1,336
559,559,4911,39715,69,26,33,0,9,496
560,560,2574,34990,65,23,73,0,1,42
561,561,9594,31421,81,5,95,0,2,388
562,562,10208,35482,129,21,59,0,3,619
563,563,9217,26351,119,14,87,0,7,571
564,564,10506,61650,88,8,2,0,2,117
565,565,7619,72885,105,5,42,0,5,504
566,566,8991,17331,117,13,39,0,6,1138
567,567,4923,31093,63,3,78,0,3,302
568,568,18745,27229,99,20,9,0,2,475
569,569,4525,32802,114,31,8,0,1,547
570,570,10732,75728,133,24,68,0,4,44
571,571,2703,33873,72,19,48,0,1,41
572,572,2458,80232,70,20,44,0,1,504
573,573,11790,25251,66,13,43,0,2,316
574,574,8149,45823,71,28,76,0,2,340
575,575,5558,96844,188,5,61,4,1,2156
576,576,2678,43540,83,3,85,1,1,398
577,577,5821,77563,143,35,58,0,1,545
578,578,2541,23692,65,26,27,2,1,312
579,579,5471,53526,68,27,69,0,4,278
580,580,4879,67163,61,17,41,2,5,33
581,581,2691,77411,67,29,63,0,1,257
582,582,5325,75673,73,17,44,0,7,496
583,583,3440,23870,91,4,92,0,1,500
584,584,4782,81687,61,7,77,0,6,292
585,585,5484,47611,69,17,65,0,4,593
586,586,5619,62015,153,25,5,0,1,1027
587,587,22721,21724,198,4,51,0,2,1505
588,588,17019,89601,70,23,8,0,2,117
589,589,2666,86321,66,7,25,0,1,316
590,590,5704,50695,71,31,30,0,5,110
591,591,3875,67895,117,11,29,0,1,842
592,592,10914,71656,137,3,88,0,8,61
593,593,3571,73853,89,7,35,0,1,427
594,594,22103,64175,102,35,48,0,2,489
595,595,7138,19794,93,24,80,0,8,603
596,596,5138,72264,64,2,66,0,9,272
597,597,2476,47918,62,4,51,0,1,246
598,598,5375,69050,67,17,38,0,3,334
599,599,8268,95419,70,6,61,3,2,336
600,600,5055,88989,63,19,28,1,3,232
601,601,4795,33068,61,6,77,1,6,213
602,602,6325,73612,89,4,86,0,7,614
603,603,9743,24028,82,14,27,0,2,393
604,604,6631,32918,84,33,69,0,3,403
605,605,31162,83170,97,0,53,0,2,344
606,606,4563,30988,124,32,39,0,1,595
607,607,4883,58682,61,24,34,0,4,206
608,608,5140,71434,138,22,18,0,1,900
609,609,3548,76114,88,6,97,0,1,422
610,610,10541,59965,131,7,54,0,7,905
611,611,8009,61466,107,11,8,0,3,740
612,612,7606,47778,96,2,81,0,7,173
613,613,30763,41279,115,1,30,0,2,251
614,614,2726,38267,73,8,63,0,1,376
615,615,4751,30887,119,15,18,0,1,444
616,616,2631,26751,71,11,68,0,1,340
617,617,38545,41104,109,4,10,0,2,440
618,618,4988,38928,64,14,18,0,8,326
619,619,2609,60798,66,21,57,0,1,316
620,620,15470,68086,194,34,6,0,3,218
621,621,5324,31561,68,8,62,0,7,326
622,622,3763,93595,97,15,30,4,1,49
623,623,9057,91025,112,17,37,3,9,327
624,624,6105,14186,84,0,57,0,5,395
625,625,5886,84265,81,8,37,0,4,583
626,626,4458,17622,65,1,36,1,3,312
627,627,2660,53333,66,4,34,0,1,22
