,region,response,coverage,education,effective_to_date,month,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
16,west region,no,basic,high school or below,2/7/11,feb,employed,f,urban,married,personal auto,personal l3,offer4,call center,two-door car,large
17,north west,no,basic,high school or below,1/17/11,jan,unemployed,m,urban,married,corporate auto,corporate l2,offer2,branch,two-door car,medsize
18,west region,no,basic,college,2/14/11,feb,disabled,m,suburban,married,personal auto,personal l3,offer1,agent,two-door car,medsize
19,west region,yes,extended,college,2/26/11,feb,employed,f,rural,married,personal auto,personal l2,offer2,call center,two-door car,large
20,west region,no,basic,bachelor,2/23/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer1,call center,suv,medsize
21,north west,no,extended,high school or below,2/14/11,feb,medical leave,f,suburban,single,personal auto,personal l1,offer1,agent,four-door car,small
22,north west,no,basic,college,1/15/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,call center,luxury car,large
23,west region,no,basic,bachelor,2/2/11,feb,employed,m,rural,married,personal auto,personal l2,offer1,agent,four-door car,medsize
24,north west,no,basic,high school or below,2/15/11,feb,unemployed,m,suburban,divorced,corporate auto,corporate l1,offer1,agent,four-door car,medsize
25,central,no,extended,college,1/24/11,jan,employed,m,rural,married,special auto,special l3,offer4,agent,suv,small
26,central,no,basic,college,2/21/11,feb,employed,f,rural,married,personal auto,personal l3,offer3,branch,suv,large
27,north west,yes,premium,bachelor,2/28/11,feb,employed,f,rural,divorced,personal auto,personal l3,offer2,agent,four-door car,medsize
28,central,no,basic,college,2/22/11,feb,employed,f,urban,married,special auto,special l2,offer2,call center,four-door car,medsize
29,west region,no,basic,high school or below,1/7/11,jan,medical leave,m,urban,married,personal auto,personal l2,offer4,call center,four-door car,medsize
30,west region,no,premium,high school or below,1/28/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,large
31,west region,no,basic,master,2/8/11,feb,employed,f,suburban,married,corporate auto,corporate l2,offer2,branch,sports car,medsize
32,central,no,premium,high school or below,1/28/11,jan,medical leave,f,suburban,married,corporate auto,corporate l3,offer1,call center,suv,small
33,west region,no,basic,bachelor,2/15/11,feb,employed,f,rural,married,personal auto,personal l1,offer1,branch,suv,medsize
34,west region,no,basic,college,2/12/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,call center,suv,large
35,west region,no,basic,college,2/20/11,feb,unemployed,f,rural,divorced,special auto,special l3,offer1,branch,four-door car,medsize
36,west region,no,basic,college,1/5/11,jan,medical leave,m,suburban,married,personal auto,personal l2,offer3,call center,suv,medsize
37,north west,no,basic,high school or below,2/7/11,feb,employed,m,urban,married,corporate auto,corporate l2,offer3,agent,four-door car,medsize
38,central,no,basic,bachelor,1/28/11,jan,medical leave,f,suburban,single,personal auto,personal l1,offer2,web,four-door car,medsize
39,north west,no,extended,bachelor,2/19/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer2,web,four-door car,large
40,west region,no,basic,college,1/5/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,branch,four-door car,medsize
41,central,no,extended,high school or below,2/7/11,feb,medical leave,m,suburban,married,corporate auto,corporate l3,offer1,agent,four-door car,medsize
42,central,no,extended,college,1/3/11,jan,medical leave,m,suburban,married,personal auto,personal l3,offer1,web,suv,medsize
43,central,no,basic,master,2/3/11,feb,employed,m,rural,divorced,personal auto,personal l3,offer2,agent,four-door car,large
44,central,no,basic,college,1/19/11,jan,employed,m,rural,married,personal auto,personal l1,offer4,call center,four-door car,medsize
45,central,no,basic,bachelor,1/22/11,jan,employed,f,urban,married,personal auto,personal l1,offer3,web,four-door car,medsize
46,central,no,basic,college,1/17/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
47,west region,no,basic,college,1/23/11,jan,employed,m,rural,divorced,personal auto,personal l3,offer2,web,luxury suv,medsize
48,west region,no,extended,college,2/5/11,feb,disabled,f,suburban,divorced,corporate auto,corporate l2,offer1,branch,four-door car,large
49,central,no,extended,master,2/28/11,feb,employed,f,rural,married,personal auto,personal l3,offer3,call center,suv,medsize
50,west region,no,basic,high school or below,2/13/11,feb,employed,f,suburban,married,personal auto,personal l3,offer3,web,four-door car,medsize
51,central,no,basic,high school or below,1/3/11,jan,employed,m,suburban,married,personal auto,personal l1,offer1,agent,four-door car,large
52,central,no,basic,high school or below,1/25/11,jan,employed,f,suburban,married,personal auto,personal l3,offer3,call center,two-door car,small
53,north west,no,basic,college,1/2/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer4,call center,four-door car,medsize
54,west region,no,extended,high school or below,2/16/11,feb,unemployed,f,suburban,divorced,personal auto,personal l1,offer1,branch,suv,medsize
55,central,no,extended,high school or below,2/1/11,feb,employed,f,suburban,single,special auto,special l3,offer1,agent,luxury car,medsize
56,north west,no,basic,high school or below,1/27/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,call center,four-door car,medsize
57,north west,no,premium,college,1/24/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,branch,four-door car,small
58,east,no,basic,college,2/18/11,feb,employed,m,suburban,divorced,personal auto,personal l3,offer4,call center,two-door car,small
59,central,no,basic,high school or below,1/26/11,jan,employed,m,rural,married,personal auto,personal l3,offer2,call center,four-door car,medsize
60,north west,no,basic,bachelor,1/19/11,jan,employed,m,suburban,married,personal auto,personal l3,offer1,branch,four-door car,small
61,west region,no,basic,bachelor,2/14/11,feb,medical leave,m,suburban,divorced,personal auto,personal l3,offer2,call center,two-door car,medsize
62,west region,no,basic,bachelor,1/2/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer1,agent,two-door car,medsize
63,north west,no,extended,college,1/12/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer3,web,two-door car,small
64,central,no,basic,bachelor,2/1/11,feb,employed,m,rural,married,personal auto,personal l1,offer1,agent,four-door car,medsize
65,north west,yes,basic,bachelor,1/15/11,jan,retired,m,suburban,divorced,corporate auto,corporate l3,offer1,agent,four-door car,large
66,west region,no,basic,high school or below,1/20/11,jan,employed,f,suburban,married,personal auto,personal l1,offer3,agent,four-door car,medsize
67,east,yes,basic,college,2/6/11,feb,employed,m,urban,single,personal auto,personal l3,offer2,agent,two-door car,medsize
68,central,no,basic,college,1/5/11,jan,unemployed,f,suburban,single,corporate auto,corporate l2,offer2,branch,four-door car,medsize
69,north west,yes,extended,bachelor,1/3/11,jan,retired,f,suburban,divorced,personal auto,personal l3,offer2,call center,four-door car,medsize
70,north west,no,basic,college,2/11/11,feb,medical leave,f,suburban,married,personal auto,personal l3,offer2,agent,four-door car,medsize
71,central,no,extended,high school or below,1/7/11,jan,employed,m,suburban,married,personal auto,personal l3,offer3,agent,four-door car,medsize
72,west region,no,extended,high school or below,1/21/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer1,agent,four-door car,small
73,central,no,basic,college,1/29/11,jan,unemployed,m,suburban,single,special auto,special l2,offer1,agent,four-door car,medsize
74,north west,no,extended,high school or below,1/20/11,jan,employed,m,suburban,divorced,personal auto,personal l2,offer1,web,luxury suv,medsize
75,north west,no,basic,college,1/18/11,jan,employed,m,urban,single,corporate auto,corporate l1,offer4,branch,four-door car,medsize
76,west region,no,basic,doctor,1/11/11,jan,unemployed,m,suburban,married,personal auto,personal l3,offer1,agent,four-door car,small
77,east,no,extended,high school or below,1/26/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer1,branch,luxury car,medsize
78,west region,no,extended,bachelor,2/23/11,feb,unemployed,m,suburban,single,personal auto,personal l1,offer1,web,four-door car,small
79,central,no,premium,high school or below,2/13/11,feb,employed,m,rural,married,personal auto,personal l3,offer3,call center,four-door car,medsize
80,west region,no,basic,college,2/23/11,feb,employed,f,rural,single,personal auto,personal l2,offer3,branch,four-door car,medsize
81,east,no,basic,master,2/28/11,feb,employed,m,rural,single,personal auto,personal l3,offer4,agent,four-door car,large
82,central,no,basic,high school or below,2/15/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer4,branch,four-door car,small
83,north west,no,extended,high school or below,1/4/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,branch,four-door car,medsize
84,central,no,basic,college,2/2/11,feb,unemployed,f,suburban,married,personal auto,personal l1,offer1,branch,four-door car,large
85,north west,no,basic,high school or below,1/22/11,jan,employed,m,suburban,divorced,personal auto,personal l3,offer4,call center,suv,small
86,west region,no,basic,bachelor,1/9/11,jan,employed,m,urban,divorced,corporate auto,corporate l3,offer1,call center,suv,medsize
87,north west,no,basic,college,2/22/11,feb,disabled,f,suburban,married,personal auto,personal l3,offer1,agent,sports car,medsize
88,central,yes,basic,high school or below,2/23/11,feb,disabled,f,suburban,married,corporate auto,corporate l3,offer2,agent,suv,medsize
89,central,no,basic,bachelor,1/4/11,jan,employed,m,rural,single,special auto,special l2,offer1,agent,two-door car,medsize
90,north west,no,basic,college,2/11/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer1,agent,suv,small
91,west region,no,basic,college,2/19/11,feb,medical leave,m,suburban,single,personal auto,personal l1,offer1,agent,luxury suv,medsize
92,central,no,basic,college,1/23/11,jan,employed,f,urban,married,personal auto,personal l2,offer1,call center,suv,large
93,central,no,basic,high school or below,2/9/11,feb,employed,f,urban,married,personal auto,personal l1,offer1,agent,suv,small
94,east,no,basic,high school or below,2/11/11,feb,employed,f,suburban,married,personal auto,personal l2,offer1,branch,suv,medsize
95,east,no,basic,college,2/24/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer1,call center,sports car,medsize
96,north west,no,extended,college,1/29/11,jan,employed,m,rural,single,personal auto,personal l2,offer1,call center,two-door car,medsize
97,north west,no,basic,master,2/14/11,feb,employed,f,rural,single,personal auto,personal l3,offer2,branch,suv,medsize
98,central,no,extended,high school or below,1/25/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,call center,four-door car,medsize
99,west region,no,extended,high school or below,2/27/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer2,branch,luxury car,medsize
100,west region,no,extended,bachelor,2/7/11,feb,unemployed,f,urban,divorced,personal auto,personal l1,offer1,web,four-door car,medsize
101,west region,no,basic,college,2/18/11,feb,employed,f,suburban,married,personal auto,personal l1,offer4,agent,suv,medsize
102,central,yes,basic,high school or below,1/15/11,jan,employed,m,rural,married,personal auto,personal l2,offer2,agent,two-door car,medsize
103,central,no,extended,doctor,1/17/11,jan,employed,f,suburban,divorced,corporate auto,corporate l3,offer3,branch,two-door car,medsize
104,west region,no,extended,high school or below,2/13/11,feb,employed,m,rural,married,personal auto,personal l3,offer3,agent,two-door car,medsize
105,west region,no,extended,high school or below,2/14/11,feb,unemployed,f,suburban,married,personal auto,personal l2,offer3,branch,four-door car,medsize
106,central,no,extended,high school or below,1/1/11,jan,unemployed,m,suburban,single,corporate auto,corporate l3,offer2,branch,sports car,medsize
107,central,no,extended,bachelor,1/21/11,jan,employed,f,urban,married,personal auto,personal l3,offer2,call center,four-door car,medsize
108,north west,no,extended,college,2/13/11,feb,employed,f,urban,married,personal auto,personal l1,offer2,agent,two-door car,medsize
109,west region,no,premium,bachelor,1/12/11,jan,employed,m,rural,single,personal auto,personal l2,offer1,agent,four-door car,large
110,central,no,basic,bachelor,2/1/11,feb,employed,f,urban,married,corporate auto,corporate l2,offer1,agent,suv,medsize
111,central,yes,extended,college,1/19/11,jan,unemployed,m,suburban,married,personal auto,personal l3,offer2,agent,suv,medsize
112,west region,no,basic,college,1/3/11,jan,employed,m,rural,single,corporate auto,corporate l2,offer2,branch,four-door car,medsize
113,north west,yes,basic,master,1/28/11,jan,disabled,f,suburban,divorced,corporate auto,corporate l2,offer1,agent,four-door car,small
114,central,no,premium,bachelor,1/19/11,jan,unemployed,f,suburban,married,personal auto,personal l1,offer3,web,luxury car,medsize
115,east,no,basic,bachelor,1/26/11,jan,disabled,f,urban,married,corporate auto,corporate l3,offer1,agent,luxury car,medsize
116,north west,no,extended,high school or below,1/22/11,jan,disabled,m,suburban,single,corporate auto,corporate l3,offer2,branch,sports car,medsize
117,west region,no,extended,college,2/21/11,feb,employed,f,rural,married,personal auto,personal l2,offer1,web,suv,medsize
118,east,no,basic,bachelor,1/16/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer3,call center,four-door car,medsize
119,north west,no,extended,high school or below,2/18/11,feb,unemployed,m,suburban,single,personal auto,personal l2,offer3,branch,four-door car,medsize
120,west region,no,extended,master,2/17/11,feb,employed,f,rural,married,personal auto,personal l2,offer2,branch,four-door car,medsize
121,central,no,basic,bachelor,2/24/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,web,four-door car,medsize
122,west region,yes,basic,high school or below,1/19/11,jan,medical leave,f,suburban,married,corporate auto,corporate l2,offer2,call center,suv,medsize
123,east,no,basic,high school or below,2/12/11,feb,unemployed,f,suburban,single,personal auto,personal l1,offer1,agent,four-door car,small
124,north west,no,basic,college,2/14/11,feb,employed,m,urban,married,corporate auto,corporate l1,offer4,agent,four-door car,medsize
125,west region,yes,extended,high school or below,1/5/11,jan,employed,f,suburban,married,personal auto,personal l1,offer3,agent,four-door car,small
126,east,no,basic,high school or below,2/25/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer2,agent,four-door car,medsize
127,north west,no,basic,college,2/28/11,feb,employed,m,rural,married,personal auto,personal l1,offer1,agent,sports car,medsize
128,west region,no,extended,high school or below,2/26/11,feb,medical leave,m,suburban,divorced,personal auto,personal l3,offer1,agent,suv,small
129,north west,no,basic,college,2/14/11,feb,disabled,m,suburban,single,personal auto,personal l2,offer1,branch,four-door car,medsize
130,west region,yes,extended,college,2/23/11,feb,retired,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,medsize
131,west region,no,extended,doctor,1/13/11,jan,unemployed,f,suburban,married,corporate auto,corporate l1,offer1,agent,four-door car,medsize
132,west region,no,basic,bachelor,1/17/11,jan,employed,m,suburban,married,personal auto,personal l2,offer2,call center,four-door car,medsize
133,east,no,basic,high school or below,1/29/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer2,agent,two-door car,medsize
134,central,yes,basic,college,1/31/11,jan,employed,f,suburban,divorced,corporate auto,corporate l3,offer2,call center,four-door car,medsize
135,central,no,basic,college,1/16/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,call center,suv,large
136,central,no,basic,college,2/1/11,feb,employed,f,suburban,married,corporate auto,corporate l2,offer3,agent,four-door car,small
137,east,yes,extended,master,2/23/11,feb,unemployed,f,suburban,single,corporate auto,corporate l2,offer1,branch,sports car,medsize
138,west region,no,extended,college,2/26/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer3,agent,suv,medsize
139,east,no,basic,high school or below,2/27/11,feb,employed,m,suburban,divorced,corporate auto,corporate l2,offer4,call center,two-door car,large
140,central,no,premium,college,1/19/11,jan,disabled,m,suburban,divorced,personal auto,personal l3,offer2,call center,four-door car,medsize
141,west region,no,basic,bachelor,1/6/11,jan,employed,f,urban,married,personal auto,personal l1,offer3,call center,two-door car,medsize
142,north west,no,basic,high school or below,2/24/11,feb,employed,f,urban,married,personal auto,personal l3,offer2,web,suv,medsize
143,north west,no,extended,master,2/26/11,feb,retired,f,urban,single,personal auto,personal l2,offer1,branch,four-door car,medsize
144,west region,yes,extended,college,1/28/11,jan,employed,f,rural,married,personal auto,personal l3,offer2,call center,two-door car,small
145,west region,no,basic,bachelor,1/4/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,suv,medsize
146,north west,no,basic,bachelor,2/2/11,feb,employed,f,rural,married,corporate auto,corporate l3,offer4,branch,four-door car,small
147,east,yes,basic,master,1/20/11,jan,retired,f,urban,married,personal auto,personal l3,offer1,agent,two-door car,medsize
148,west region,no,basic,college,2/2/11,feb,employed,m,urban,single,personal auto,personal l1,offer1,agent,two-door car,medsize
149,north west,yes,basic,college,2/26/11,feb,employed,f,rural,married,personal auto,personal l3,offer1,agent,suv,medsize
150,central,yes,basic,college,2/24/11,feb,employed,f,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
151,north west,no,basic,college,2/16/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,web,four-door car,small
152,west region,no,extended,high school or below,2/17/11,feb,employed,f,suburban,married,personal auto,personal l1,offer4,agent,suv,large
153,north west,no,basic,college,1/19/11,jan,employed,f,rural,married,personal auto,personal l2,offer1,call center,two-door car,medsize
154,west region,no,basic,high school or below,1/21/11,jan,employed,m,suburban,single,personal auto,personal l2,offer3,agent,four-door car,small
155,north west,no,premium,college,1/21/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,call center,four-door car,medsize
156,east,yes,basic,high school or below,1/2/11,jan,unemployed,f,suburban,divorced,personal auto,personal l3,offer1,web,sports car,medsize
157,central,no,extended,high school or below,1/5/11,jan,retired,f,suburban,married,personal auto,personal l2,offer3,call center,suv,medsize
158,north west,no,basic,college,1/29/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer3,web,two-door car,medsize
159,north west,no,basic,college,1/15/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,web,two-door car,small
160,north west,no,basic,high school or below,1/4/11,jan,employed,f,suburban,divorced,corporate auto,corporate l2,offer2,call center,four-door car,medsize
161,east,no,extended,bachelor,2/17/11,feb,employed,f,suburban,divorced,personal auto,personal l3,offer1,call center,four-door car,medsize
162,west region,no,extended,college,2/18/11,feb,employed,f,suburban,married,personal auto,personal l1,offer1,branch,luxury suv,medsize
163,west region,no,basic,college,1/9/11,jan,disabled,m,suburban,married,corporate auto,corporate l3,offer3,branch,two-door car,medsize
164,west region,no,basic,bachelor,2/9/11,feb,medical leave,f,suburban,married,personal auto,personal l3,offer4,branch,suv,medsize
165,central,no,basic,college,2/2/11,feb,unemployed,f,suburban,married,personal auto,personal l1,offer1,branch,four-door car,small
166,central,no,basic,high school or below,1/26/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,call center,four-door car,medsize
167,central,yes,basic,bachelor,2/8/11,feb,unemployed,f,suburban,married,corporate auto,corporate l3,offer1,call center,four-door car,medsize
168,east,no,extended,college,2/4/11,feb,employed,m,rural,divorced,personal auto,personal l1,offer1,call center,four-door car,medsize
169,central,no,basic,bachelor,1/19/11,jan,employed,f,urban,single,corporate auto,corporate l3,offer1,agent,four-door car,large
170,north west,no,basic,high school or below,1/4/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,branch,two-door car,medsize
171,east,yes,basic,high school or below,1/15/11,jan,employed,m,rural,married,personal auto,personal l3,offer2,agent,two-door car,medsize
172,north west,no,basic,college,2/9/11,feb,employed,f,urban,married,personal auto,personal l2,offer3,call center,four-door car,medsize
173,west region,no,premium,college,1/17/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer1,call center,two-door car,medsize
174,north west,no,extended,doctor,1/3/11,jan,employed,f,urban,married,corporate auto,corporate l2,offer1,agent,four-door car,large
175,west region,no,basic,bachelor,1/17/11,jan,medical leave,f,suburban,married,personal auto,personal l3,offer1,call center,suv,small
176,west region,no,premium,high school or below,1/11/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
177,north west,no,basic,doctor,2/22/11,feb,unemployed,f,urban,married,personal auto,personal l2,offer1,agent,four-door car,large
178,central,no,basic,college,2/26/11,feb,unemployed,f,rural,married,personal auto,personal l3,offer2,call center,four-door car,medsize
179,west region,no,basic,high school or below,2/22/11,feb,employed,f,urban,single,corporate auto,corporate l2,offer1,agent,two-door car,medsize
180,west region,no,extended,high school or below,1/9/11,jan,employed,m,urban,married,corporate auto,corporate l2,offer2,call center,two-door car,large
181,west region,no,extended,college,1/29/11,jan,medical leave,f,suburban,married,personal auto,personal l2,offer1,branch,four-door car,medsize
182,north west,no,basic,college,1/26/11,jan,employed,f,suburban,divorced,corporate auto,corporate l3,offer1,agent,suv,medsize
183,west region,yes,basic,college,2/15/11,feb,employed,m,suburban,single,special auto,special l3,offer2,call center,four-door car,small
184,west region,yes,basic,high school or below,1/14/11,jan,employed,f,suburban,married,special auto,special l3,offer2,agent,sports car,medsize
185,west region,no,basic,bachelor,2/7/11,feb,employed,m,rural,married,personal auto,personal l2,offer2,call center,suv,medsize
186,central,no,basic,college,1/15/11,jan,medical leave,m,suburban,married,personal auto,personal l3,offer3,web,four-door car,medsize
187,west region,no,extended,college,1/5/11,jan,medical leave,m,suburban,married,personal auto,personal l2,offer1,branch,two-door car,small
188,central,no,basic,high school or below,1/25/11,jan,employed,m,urban,married,personal auto,personal l3,offer2,branch,luxury car,medsize
189,west region,yes,premium,bachelor,1/24/11,jan,employed,f,suburban,single,corporate auto,corporate l3,offer2,agent,luxury car,medsize
190,east,no,basic,college,1/12/11,jan,employed,f,rural,married,personal auto,personal l3,offer2,branch,suv,large
191,central,no,basic,college,1/15/11,jan,medical leave,m,suburban,single,personal auto,personal l1,offer1,branch,four-door car,medsize
192,west region,no,basic,doctor,2/18/11,feb,employed,m,rural,single,personal auto,personal l2,offer2,agent,four-door car,medsize
193,central,no,basic,college,1/6/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer3,branch,four-door car,medsize
194,west region,no,basic,high school or below,2/17/11,feb,employed,f,rural,married,personal auto,personal l3,offer2,web,four-door car,large
195,west region,no,extended,bachelor,1/16/11,jan,employed,m,suburban,married,personal auto,personal l3,offer1,branch,suv,medsize
196,west region,no,extended,college,2/3/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer1,call center,two-door car,large
197,central,no,basic,master,2/13/11,feb,employed,m,suburban,married,personal auto,personal l3,offer4,branch,four-door car,small
198,north west,yes,basic,doctor,2/22/11,feb,employed,f,urban,married,corporate auto,corporate l2,offer2,branch,four-door car,medsize
199,central,no,extended,high school or below,2/3/11,feb,employed,f,suburban,married,corporate auto,corporate l3,offer3,branch,sports car,medsize
200,east,no,basic,bachelor,1/27/11,jan,employed,m,rural,divorced,personal auto,personal l3,offer1,branch,four-door car,large
201,west region,no,basic,college,1/6/11,jan,unemployed,f,suburban,married,personal auto,personal l3,offer2,agent,suv,medsize
202,north west,no,extended,bachelor,2/23/11,feb,employed,f,rural,single,corporate auto,corporate l3,offer2,agent,four-door car,medsize
203,west region,no,basic,college,1/31/11,jan,unemployed,f,suburban,single,corporate auto,corporate l3,offer1,agent,two-door car,large
204,central,yes,basic,bachelor,1/7/11,jan,unemployed,m,suburban,married,corporate auto,corporate l2,offer2,agent,suv,medsize
205,central,yes,basic,college,2/9/11,feb,employed,m,suburban,married,personal auto,personal l2,offer2,web,suv,medsize
206,central,no,extended,high school or below,2/25/11,feb,employed,m,urban,married,personal auto,personal l1,offer3,agent,luxury suv,small
207,east,no,basic,bachelor,2/8/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,web,four-door car,medsize
208,west region,no,basic,college,2/13/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer3,branch,luxury suv,small
209,west region,no,basic,high school or below,1/31/11,jan,employed,f,rural,divorced,personal auto,personal l3,offer2,call center,two-door car,medsize
210,west region,no,extended,bachelor,1/7/11,jan,employed,f,suburban,divorced,corporate auto,corporate l3,offer1,call center,four-door car,medsize
211,central,no,extended,college,1/23/11,jan,unemployed,m,suburban,married,corporate auto,corporate l1,offer3,branch,two-door car,small
212,west region,no,extended,bachelor,1/10/11,jan,employed,m,rural,divorced,personal auto,personal l3,offer1,call center,four-door car,medsize
213,north west,no,basic,college,1/28/11,jan,unemployed,m,suburban,divorced,personal auto,personal l3,offer2,agent,sports car,medsize
214,east,no,basic,high school or below,1/2/11,jan,employed,f,rural,married,personal auto,personal l2,offer2,call center,two-door car,large
215,central,no,extended,bachelor,2/11/11,feb,employed,m,suburban,single,personal auto,personal l3,offer4,web,four-door car,medsize
216,central,no,basic,college,2/22/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,large
217,central,no,basic,bachelor,2/24/11,feb,unemployed,f,suburban,married,personal auto,personal l2,offer3,web,four-door car,medsize
218,central,no,basic,bachelor,2/18/11,feb,employed,f,rural,married,personal auto,personal l2,offer1,call center,suv,medsize
219,central,no,basic,bachelor,2/14/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,agent,four-door car,small
220,central,no,extended,high school or below,2/5/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer1,agent,four-door car,medsize
221,east,no,basic,high school or below,2/15/11,feb,unemployed,f,suburban,single,special auto,special l3,offer1,agent,four-door car,medsize
222,east,no,basic,master,1/15/11,jan,employed,f,suburban,single,personal auto,personal l3,offer2,agent,two-door car,medsize
223,west region,no,basic,bachelor,2/6/11,feb,employed,m,suburban,divorced,corporate auto,corporate l1,offer3,call center,two-door car,medsize
224,west region,no,extended,bachelor,2/21/11,feb,unemployed,f,rural,married,personal auto,personal l2,offer1,branch,four-door car,small
225,central,no,basic,doctor,1/10/11,jan,employed,m,suburban,married,personal auto,personal l2,offer3,agent,four-door car,medsize
226,north west,yes,basic,bachelor,1/3/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer2,call center,four-door car,medsize
227,east,no,premium,high school or below,1/13/11,jan,employed,m,rural,married,personal auto,personal l2,offer2,web,four-door car,medsize
228,west region,yes,extended,high school or below,1/1/11,jan,unemployed,m,suburban,single,corporate auto,corporate l3,offer1,agent,two-door car,medsize
229,east,no,extended,master,1/24/11,jan,retired,m,suburban,married,corporate auto,corporate l1,offer3,web,four-door car,medsize
230,west region,no,basic,high school or below,2/4/11,feb,employed,m,suburban,single,personal auto,personal l2,offer2,branch,two-door car,medsize
231,central,no,basic,college,1/9/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer2,branch,four-door car,medsize
232,west region,yes,basic,college,1/11/11,jan,employed,m,suburban,married,personal auto,personal l2,offer2,call center,suv,medsize
